model,config,n_train,accuracy,f1_macro,recall_positive,recall_negative
naive_bayes,nb_alpha0.5_undersample,25230,0.87,0.8568,0.8524,0.9088
logistic_regression,lr_C2.0_balanced,64456,0.9016,0.8879,0.9095,0.8843
